ID	symbol	lfc	p
ENSMUSG00000000001	ENSMUSG00000000001	Gnai3	-0.421698398200487	0.00446381711554916
ENSMUSG00000000003	ENSMUSG00000000003	Pbsn	0	1
ENSMUSG00000000028	ENSMUSG00000000028	Cdc45	-0.249149460191509	0.0497466804550419
ENSMUSG00000000031	ENSMUSG00000000031	H19	0.161756736839046	0.208507320365309
ENSMUSG00000000037	ENSMUSG00000000037	Scml2	-0.058799285399233	0.702809417259867
ENSMUSG00000000049	ENSMUSG00000000049	Apoh	0	1
ENSMUSG00000000056	ENSMUSG00000000056	Narf	0.00233345372516773	0.986224965546141
ENSMUSG00000000058	ENSMUSG00000000058	Cav2	1.14226526112574	0.000129713018371068
ENSMUSG00000000078	ENSMUSG00000000078	Klf6	-0.081299658030594	0.678131181264877
ENSMUSG00000000085	ENSMUSG00000000085	Scmh1	-0.157223316364517	0.157452122525324
ENSMUSG00000000088	ENSMUSG00000000088	Cox5a	-0.234435274261281	0.0442693801917922
ENSMUSG00000000093	ENSMUSG00000000093	Tbx2	0.0256815703562115	0.878721597698008
ENSMUSG00000000094	ENSMUSG00000000094	Tbx4	-0.120763195943073	0.757961470185627
ENSMUSG00000000103	ENSMUSG00000000103	Zfy2	0	1
ENSMUSG00000000120	ENSMUSG00000000120	Ngfr	-0.291961294001044	0.0127279179996103
ENSMUSG00000000125	ENSMUSG00000000125	Wnt3	-0.166856461892751	0.219377827795544
ENSMUSG00000000126	ENSMUSG00000000126	Wnt9a	0.0735823641473383	0.780849992235346
ENSMUSG00000000127	ENSMUSG00000000127	Fer	-0.731779966690686	0.000375475864892736
ENSMUSG00000000131	ENSMUSG00000000131	Xpo6	-0.11235946861234	0.315169383763974
ENSMUSG00000000134	ENSMUSG00000000134	Tfe3	0.075717522034449	0.553436882289189
ENSMUSG00000000142	ENSMUSG00000000142	Axin2	-0.180211379202833	0.247848068537484
ENSMUSG00000000148	ENSMUSG00000000148	Brat1	0.354014333482538	0.0069286356326948
ENSMUSG00000000149	ENSMUSG00000000149	Gna12	-0.320547893104314	0.00560739682854254
ENSMUSG00000000154	ENSMUSG00000000154	Slc22a18	0.439875736541501	0.0669870087141492
ENSMUSG00000000157	ENSMUSG00000000157	Itgb2l	0	1
ENSMUSG00000000159	ENSMUSG00000000159	Igsf5	0	1
ENSMUSG00000000167	ENSMUSG00000000167	Pih1d2	-0.0397232465374255	0.939674564142597
ENSMUSG00000000168	ENSMUSG00000000168	Dlat	0.451687535762176	0.0100756133072895
ENSMUSG00000000171	ENSMUSG00000000171	Sdhd	0.368123547757983	0.00481396796401435
ENSMUSG00000000182	ENSMUSG00000000182	Fgf23	0	1
ENSMUSG00000000183	ENSMUSG00000000183	Fgf6	-0.1866173728209	0.347113685198003
ENSMUSG00000000184	ENSMUSG00000000184	Ccnd2	-0.36562663506491	0.00362685746394938
ENSMUSG00000000194	ENSMUSG00000000194	Gpr107	0.0817668924365181	0.47020655048176
ENSMUSG00000000197	ENSMUSG00000000197	Nalcn	-1.71408590282344	0.00017001689014553
ENSMUSG00000000202	ENSMUSG00000000202	Btbd17	-1.17593966863117	0.0637152163432887
ENSMUSG00000000204	ENSMUSG00000000204	Slfn4	0.0323378464662752	0.955067272360491
ENSMUSG00000000214	ENSMUSG00000000214	Th	0	1
ENSMUSG00000000215	ENSMUSG00000000215	Ins2	0	1
ENSMUSG00000000216	ENSMUSG00000000216	Scnn1g	-0.528941938139932	0.0442371623300844
ENSMUSG00000000223	ENSMUSG00000000223	Drp2	-0.382644658765969	0.0147580489249468
ENSMUSG00000000244	ENSMUSG00000000244	Tspan32	-0.27707544002129	0.303026513651901
ENSMUSG00000000247	ENSMUSG00000000247	Lhx2	-1.29287821209668	1.15417188037053e-05
ENSMUSG00000000248	ENSMUSG00000000248	Clec2g	-4.02014958359631	9.35031855634177e-08
ENSMUSG00000000253	ENSMUSG00000000253	Gmpr	-0.884365410431405	0.000887169294632972
ENSMUSG00000000263	ENSMUSG00000000263	Glra1	0	1
ENSMUSG00000000266	ENSMUSG00000000266	Mid2	-0.584133238137044	0.00257521317234103
ENSMUSG00000000275	ENSMUSG00000000275	Trim25	0.541776195504867	0.00142046383181832
ENSMUSG00000000276	ENSMUSG00000000276	Dgke	-0.237690217679216	0.0937623052807531
ENSMUSG00000000278	ENSMUSG00000000278	Scpep1	-1.36654258689327	8.60263521527559e-07
ENSMUSG00000000282	ENSMUSG00000000282	Mnt	0.375013806012004	0.00379406982998204
ENSMUSG00000000290	ENSMUSG00000000290	Itgb2	0.538230026381799	0.0227110570070274
ENSMUSG00000000295	ENSMUSG00000000295	Hddc2	-0.029308775755897	0.81677812108745
ENSMUSG00000000296	ENSMUSG00000000296	Tpd52l1	0.275726322908061	0.161547672975383
ENSMUSG00000000301	ENSMUSG00000000301	Pemt	0.144973760947966	0.530777860663469
ENSMUSG00000000303	ENSMUSG00000000303	Cdh1	0.109057545680198	0.614127683707903
ENSMUSG00000000305	ENSMUSG00000000305	Cdh4	0.975197452028744	0.000119880306650361
ENSMUSG00000000308	ENSMUSG00000000308	Ckmt1	0.45403241130796	0.0203061371019904
ENSMUSG00000000317	ENSMUSG00000000317	Bcl6b	-0.043389149451807	0.798750099305035
ENSMUSG00000000318	ENSMUSG00000000318	Clec10a	-0.0176075878776555	0.949544282910392
ENSMUSG00000000320	ENSMUSG00000000320	Alox12	-2.7829344998867	2.51860198549634e-07
ENSMUSG00000000325	ENSMUSG00000000325	Arvcf	-1.03600845544287	1.67296000485459e-05
ENSMUSG00000000326	ENSMUSG00000000326	Comt	-0.222405185910267	0.0299761667175729
ENSMUSG00000000339	ENSMUSG00000000339	Rtca	-0.0470471254888489	0.658629801518037
ENSMUSG00000000340	ENSMUSG00000000340	Dbt	0.126865276630209	0.462209118594611
ENSMUSG00000000346	ENSMUSG00000000346	Dazap2	0.153777355020822	0.137531842436438
ENSMUSG00000000355	ENSMUSG00000000355	Mcts1	-0.0792375259903908	0.433649920844475
ENSMUSG00000000359	ENSMUSG00000000359	Rem1	-0.135541868029708	0.726888474044058
ENSMUSG00000000365	ENSMUSG00000000365	Rnf17	0.77313654795696	0.181047266919375
ENSMUSG00000000374	ENSMUSG00000000374	Trappc10	0.0505027603734495	0.679851267104996
ENSMUSG00000000378	ENSMUSG00000000378	Ccm2	-0.140454089867402	0.141006147217561
ENSMUSG00000000381	ENSMUSG00000000381	Wap	0	1
ENSMUSG00000000384	ENSMUSG00000000384	Tbrg4	0.302910382938659	0.0208219811728922
ENSMUSG00000000385	ENSMUSG00000000385	Tmprss2	0.539349951324935	0.154656540743643
ENSMUSG00000000386	ENSMUSG00000000386	Mx1	-2.48953974135641	3.67181541252397e-05
ENSMUSG00000000392	ENSMUSG00000000392	Fap	-0.490204054377527	0.0147671659967172
ENSMUSG00000000394	ENSMUSG00000000394	Gcg	0	1
ENSMUSG00000000399	ENSMUSG00000000399	Ndufa9	-7.12945987973697e-05	0.999693677289832
ENSMUSG00000000402	ENSMUSG00000000402	Egfl6	-0.649292658143821	0.00470760872021433
ENSMUSG00000000409	ENSMUSG00000000409	Lck	0.07843674834757	0.664478246340802
ENSMUSG00000000411	ENSMUSG00000000411	Tssk3	0	1
ENSMUSG00000000416	ENSMUSG00000000416	Cttnbp2	-0.61890534159314	0.00911747267598879
ENSMUSG00000000420	ENSMUSG00000000420	Galnt1	-0.116924872700353	0.255281756698257
ENSMUSG00000000435	ENSMUSG00000000435	Myf5	-0.439820126190651	0.311043825536803
ENSMUSG00000000439	ENSMUSG00000000439	Mkrn2	-0.0493263623703278	0.681176400185447
ENSMUSG00000000440	ENSMUSG00000000440	Pparg	0.137525277588444	0.758109254595364
ENSMUSG00000000441	ENSMUSG00000000441	Raf1	-0.353775514312827	0.00171823101380368
ENSMUSG00000000486	ENSMUSG00000000486	Sept1	0.185980030553789	0.471492904873046
