WT1_H3K4me3	WT2_H3K4me3	WT1_H3K27me3	WT2_H3K27me3	K4	K27	cluster	dis
Atxn7l3b	5.8643	5.7714	1.6276	1.7933	5.8178	1.7104	1	0.0443
4833439L19Rik	5.9095	5.8214	1.6126	1.7545	5.8655	1.6835	1	0.0443
Btg3	5.9153	5.7971	1.6126	1.7933	5.8562	1.7029	1	0.0496
Mif4gd	5.9029	5.7806	1.6429	1.7933	5.8418	1.7181	1	0.0547
Sdhc	5.8626	5.7686	1.6581	1.7416	5.8156	1.6998	1	0.0668
Gm26596	5.8753	5.7769	1.6126	1.8432	5.8261	1.7279	1	0.0773
Gm15999	5.8574	5.763	1.5494	1.7933	5.8102	1.6713	1	0.0818
Plpp5	5.79	5.7989	1.6126	1.7677	5.7944	1.6901	1	0.0821
Itfg2	5.7873	5.807	1.6126	1.7803	5.7972	1.6964	1	0.0846
Zbed4	5.9186	5.8637	1.6581	1.7677	5.8912	1.7129	1	0.0863
Gm38327	5.8437	5.7879	1.6727	1.8307	5.8158	1.7517	1	0.0898
Cep70	5.8419	5.7879	1.6727	1.8307	5.8149	1.7517	1	0.0903
Ccar2	5.8837	5.8007	1.6727	1.7018	5.8422	1.6872	1	0.0929
0610009B22Rik	5.8694	5.817	1.5331	1.8184	5.8432	1.6758	1	0.0934
Mpz	5.8617	5.7667	1.6276	1.688	5.8142	1.6578	1	0.0948
Wdr6	5.9308	5.8133	1.6875	1.7677	5.8721	1.7276	1	0.0951
Dmap1	5.8879	5.8366	1.6727	1.7018	5.8622	1.6872	1	0.0979
Msh3	5.9202	5.8921	1.6126	1.7545	5.9062	1.6835	1	0.0997
Abcf2	5.8385	5.8707	1.6126	1.8432	5.8546	1.7279	1	0.1011
Trappc10	5.9446	5.825	1.5494	1.7416	5.8848	1.6455	1	0.1035
Tmed4	5.8896	5.8887	1.5969	1.8307	5.8892	1.7138	1	0.1035
Hsbp1	5.9054	5.8133	1.6126	1.6745	5.8594	1.6435	1	0.1035
Hist1h3a	5.8946	5.8016	1.6727	1.8552	5.8481	1.7639	1	0.1047
Rufy1	5.8557	5.7338	1.6429	1.7018	5.7948	1.6724	1	0.1068
Sec22b	5.8557	5.7649	1.517	1.7933	5.8103	1.6551	1	0.1086
Tram1	5.9095	5.8541	1.5331	1.7286	5.8818	1.6308	1	0.1098
AC117232.5	5.8342	5.8115	1.7022	1.715	5.8229	1.7086	1	0.112
Fyco1	5.947	5.8498	1.6276	1.8432	5.8984	1.7354	1	0.1131
Nsmce4a	5.8879	5.8061	1.517	1.8307	5.847	1.6738	1	0.1141
Eogt	5.835	5.8151	1.6276	1.8793	5.8251	1.7535	1	0.1144
Elof1	5.8829	5.7499	1.6276	1.6745	5.8164	1.651	1	0.1145
Krba1	5.8761	5.8698	1.5811	1.8671	5.873	1.7241	1	0.1186
Ostc	5.9325	5.9048	1.5811	1.7677	5.9187	1.6744	1	0.1199
Dlg4	5.9219	5.7824	1.6581	1.6745	5.8521	1.6663	1	0.121
Suclg1	5.8896	5.8142	1.6581	1.6604	5.8519	1.6592	1	0.1218
Scyl2	5.9079	5.8321	1.6727	1.6745	5.87	1.6736	1	0.1224
Gm44696	5.8753	5.8681	1.5656	1.8671	5.8717	1.7164	1	0.1228
Napg	5.8702	5.807	1.6126	1.6466	5.8386	1.6296	1	0.1255
Crnkl1	5.8069	5.8295	1.5656	1.8671	5.8182	1.7164	1	0.1265
Tecpr1	5.8837	5.8541	1.5494	1.6745	5.8689	1.6119	1	0.1266
Dhfr	5.9161	5.8904	1.5656	1.7018	5.9033	1.6337	1	0.1273
1500026H17Rik	5.9046	5.833	1.6581	1.6604	5.8688	1.6592	1	0.1274
Faap20	5.8971	5.7989	1.5003	1.715	5.848	1.6077	1	0.1296
Gm43267	5.8761	5.8524	1.5656	1.6604	5.8643	1.613	1	0.1299
AC129085.5	5.959	5.8827	1.5494	1.7677	5.9209	1.6585	1	0.1324
Copg1	5.8289	5.6953	1.6581	1.7286	5.7621	1.6933	1	0.1347
Efcab14	5.8052	5.7319	1.6727	1.7018	5.7685	1.6872	1	0.1359
Pex26	5.9137	5.8124	1.745	1.7677	5.8631	1.7563	1	0.1382
B2m	5.9526	5.893	1.5494	1.8057	5.9228	1.6776	1	0.1387
Asph	5.9646	5.8707	1.6581	1.7018	5.9176	1.6799	1	0.1402
Ola1	5.9414	5.7916	1.7022	1.8552	5.8665	1.7787	1	0.141
Mga	5.9227	5.8827	1.5331	1.8432	5.9027	1.6881	1	0.1411
Gm15672	5.9937	5.7583	1.5811	1.7286	5.876	1.6548	1	0.1422
Pink1	5.8122	5.8097	1.5811	1.6466	5.811	1.6139	1	0.1426
Ddx23	5.9373	5.8577	1.6581	1.8793	5.8975	1.7687	1	0.1428
Nsmce3	5.9169	5.8585	1.6581	1.891	5.8877	1.7746	1	0.1444
Tmem42	5.738	5.816	1.5811	1.7286	5.777	1.6548	1	0.1445
AC133650.3	5.737	5.8133	1.5811	1.7286	5.7752	1.6548	1	0.1452
Mif	5.8896	5.9066	1.6581	1.8671	5.8981	1.7626	1	0.1458
Chchd5	5.821	5.807	1.4834	1.7286	5.814	1.606	1	0.1463
Zfp1	5.8122	5.848	1.5494	1.6604	5.8301	1.6049	1	0.1476
Vps25	5.7389	5.7471	1.6126	1.7416	5.743	1.6771	1	0.1487
Fam110b	5.7891	5.7319	1.5331	1.8307	5.7605	1.6819	1	0.1494
Tfcp2	5.9004	5.8268	1.6875	1.6466	5.8636	1.6671	1	0.1498
Samd8	5.9741	5.8321	1.517	1.8184	5.9031	1.6677	1	0.1504
Gm25677	5.9717	5.8724	1.6727	1.7018	5.9221	1.6872	1	0.1509
Oraov1	5.9325	5.8436	1.745	1.7933	5.888	1.7691	1	0.151
Naxe	5.8557	5.8445	1.7587	1.7545	5.8501	1.7566	1	0.1518
Troap	5.8523	5.8312	1.745	1.7018	5.8418	1.7234	1	0.1523
AC133650.1	5.737	5.8142	1.6727	1.7286	5.7756	1.7006	1	0.1534
Alas1	5.9921	5.8707	1.6276	1.8432	5.9314	1.7354	1	0.1545
Gm10555	5.9622	5.7778	1.6875	1.6745	5.87	1.681	1	0.1551
Abcb10	5.8228	5.8304	1.7587	1.7545	5.8266	1.7566	1	0.1559
Dip2b	5.8149	5.6982	1.5969	1.8671	5.7566	1.732	1	0.156
Aldh4a1	5.7601	5.704	1.6276	1.8184	5.7321	1.723	1	0.1592
Clint1	5.835	5.731	1.745	1.8057	5.783	1.7754	1	0.1597
Tasp1	5.9397	5.9133	1.517	1.7545	5.9265	1.6357	1	0.16
Zfp386	5.8333	5.8793	1.5331	1.6604	5.8563	1.5967	1	0.1602
Golga4	6.0069	5.7677	1.5811	1.7018	5.8873	1.6414	1	0.1608
AC163623.3	5.8634	5.7424	1.7587	1.7416	5.8029	1.7502	1	0.162
Naa40	5.9112	5.8921	1.7163	1.8552	5.9017	1.7858	1	0.1622
Ppif	5.9542	5.7602	1.745	1.7677	5.8572	1.7563	1	0.1622
Whamm	5.8131	5.7843	1.5656	1.9146	5.7987	1.7401	1	0.1629
Cep131	5.8946	5.7527	1.7587	1.8184	5.8237	1.7886	1	0.1634
Gm43600	5.7927	5.8259	1.4834	1.715	5.8093	1.5992	1	0.1637
Casd1	5.8385	5.6577	1.6727	1.7677	5.7481	1.7202	1	0.1639
Faf1	5.8803	5.9382	1.5969	1.6745	5.9093	1.6357	1	0.1647
1600014C10Rik	5.9316	5.6914	1.517	1.8057	5.8115	1.6614	1	0.1656
Nbeal1	5.8463	5.8312	1.4834	1.6745	5.8388	1.5789	1	0.1665
Lclat1	5.9103	5.8445	1.4668	1.8307	5.8774	1.6487	1	0.167
Plekhm2	5.9534	5.8106	1.6875	1.6466	5.882	1.6671	1	0.1671
Cox15	5.8007	5.7424	1.4834	1.7286	5.7715	1.606	1	0.1674
Cutc	5.8007	5.7424	1.4834	1.7286	5.7715	1.606	1	0.1674
Sem1	5.9486	5.9183	1.5811	1.8671	5.9335	1.7241	1	0.1686
Kif16bos	5.828	5.6446	1.6126	1.7545	5.7363	1.6835	1	0.169
Mprip	5.9614	5.8506	1.6727	1.6466	5.906	1.6596	1	0.171
Gm22098	5.9968	5.7815	1.5811	1.6604	5.8892	1.6207	1	0.1728
Nat6	5.921	5.7943	1.4494	1.7933	5.8577	1.6214	1	0.1732
Bcat2	6.0161	5.8913	1.6581	1.7803	5.9537	1.7192	1	0.1734
Gm23205	5.9029	5.9225	1.5969	1.6466	5.9127	1.6218	1	0.1742
Dscc1	5.8184	5.6707	1.7022	1.8057	5.7445	1.754	1	0.1743
Nt5c3	5.8167	5.9595	1.6581	1.8184	5.8881	1.7383	1	0.1745
Coq10a	5.9284	5.9141	1.6126	1.6466	5.9213	1.6296	1	0.1745
Eif3f	5.9646	5.8106	1.5003	1.8671	5.8876	1.6837	1	0.1747
Galc	5.7656	5.763	1.7022	1.6745	5.7643	1.6883	1	0.1748
Psmg3	5.9169	5.855	1.4668	1.7018	5.886	1.5843	1	0.1757
Snapc1	5.7098	5.7461	1.6429	1.7933	5.728	1.7181	1	0.1765
Wdr11	5.7546	5.8196	1.4834	1.7933	5.7871	1.6383	1	0.1767
Gm24109	5.9733	5.9091	1.7163	1.7803	5.9412	1.7483	1	0.1773
